source_id,ra,dec,phot_g_mean_mag,bp_rp,parallax
3403770034576623104,83.69030618872412,21.94624600850584,15.720015,1.2436628,0.7542806976497047
3403770038871645440,83.68255206138109,21.936135940945352,19.99252,2.4355526,1.1556780934329414
3403770038872445312,83.68100729380558,21.940061152646667,20.0932,1.4914799,0.5912905645760661
3403770038874426752,83.67695967764818,21.946656031514177,15.021607,1.3586731,0.6591496630140729
3403770068935404928,83.69861345581566,21.95550868469391,14.859589,1.583148,0.30958298811102175
3403770068935421312,83.69502548046165,21.959016588772037,17.062508,1.2851524,0.20673908454140444
3403770073234158336,83.70000901548727,21.95598907685137,17.36032,1.2820301,0.5527943897849042
3403770103295153920,83.70862234347008,21.951765090851044,17.901823,1.6304455,0.4995204931241264
3403770103295155200,83.71359904697039,21.953327880386947,18.66368,2.1665134,1.168914603881606
3403770103295160960,83.71626358654962,21.96105446921491,16.696829,1.1639938,0.20643800108029114
3403770103296102016,83.71026882601596,21.951214832701982,20.167477,1.5540466,1.5321438292629108
3403770137654901888,83.72321753716348,21.96425475680039,16.9004,1.1177368,0.2716917349599685
3403770137654908544,83.72425929211911,21.970874554992232,17.830019,0.9695034,0.0199778596715998
3403770141951613696,83.72244564757094,21.962177931248473,20.605003,1.4316368,0.261303343802209
3403770141953628288,83.72371723118852,21.960608332254438,17.719946,1.4882088,0.7446349870486422
3403770172014636160,83.70823046418737,21.958955076938114,20.569721,1.922308,2.525778824168794
3403770172014642560,83.69987004844592,21.966096911277127,18.692568,1.2651024,0.2582435098010275
3403770172014644608,83.70798311871522,21.967964796613625,18.12721,1.1883583,0.36418207759866106
3403770172014645376,83.7004983126007,21.968793331541942,19.053307,1.3011875,0.5723419934452207
3403770176311360512,83.70074600164986,21.969483687126814,20.537493,1.4803696,0.4789925861424362
3403770206374386176,83.7131687517646,21.971215582748677,15.607851,1.1408672,0.5575404783049049
3403770206374392320,83.71618572826604,21.98216708064219,19.516453,1.5054989,0.7882906395399726
3403770206377539328,83.72098828332084,21.97365659450042,18.476212,1.4774647,0.06690371095837767
3403770210670300928,83.71996500363014,21.974024146885874,18.078861,1.2607098,0.39924215443035344
3403770210670304256,83.71440464614491,21.971147682112633,19.314987,1.8822956,0.5044919045515616
3403770210673102336,83.71314134560946,21.98000191622732,17.129112,1.1148415,0.5634195060369418
3403770210673104640,83.71599966201065,21.968308110935357,15.445601,1.2664528,0.9749479789954496
3403770210673104768,83.71371111533121,21.969109489231286,17.132563,1.3319302,0.6130225049473407
3403770245032872704,83.63227522139466,21.9194733023163,16.641169,1.1282854,0.41895269152978315
3403770275094772864,83.63752430429551,21.91524960801061,17.582212,1.5211773,0.4429862745754862
3403770275094775040,83.64257827553277,21.918124591059826,16.77006,1.2129936,0.4263430950964162
3403770275094775168,83.64092824145094,21.918529344070993,17.735388,1.4211292,0.6442557751496817
3403770275094779648,83.64050523917048,21.925736478515976,20.147045,1.2453957,1.3970190901105113
3403770279392607360,83.64718178455296,21.92133404747649,18.913748,2.910143,2.0695541410797262
3403770309454513664,83.61818554463746,21.918573659867896,18.372822,1.409586,0.679634234091849
